"compresion","imagen","peso","resolucion","tasa_compresion"
"Diff/Luma","113",2173865,"720p",1.00110616667196
"Diff/Luma","83",2075422,"720p",1.00251810324465
"Diff/Luma","54",2274620,"720p",1.00273052768748
"Diff/Luma","28",1731715,"720p",1.00469592793311
"Diff/Luma","113",4523369,"1080p",1.00489968040443
"Diff/Luma","62",2846812,"720p",1.00553593447725
"Diff/Luma","105",2325891,"720p",1.00561632339646
"Diff/Luma","78",1884267,"720p",1.00659590153425
"Diff/Luma","114",2097779,"720p",1.00660359296493
"Diff/Luma","54",4748350,"1080p",1.00742400640902
"Diff/Luma","21",1815429,"720p",1.00873026148
"Diff/Luma","51",1791529,"720p",1.0088148096009
"Diff/Luma","83",4415443,"1080p",1.00914123954449
"Diff/Luma","55",1599633,"720p",1.00944552949677
"Diff/Luma","8",1789045,"720p",1.01014638002343
"Diff/Luma","105",4769863,"1080p",1.01125707741279
"Diff/Luma","97",1963951,"720p",1.01226291247264
"Diff/Luma","43",1582708,"720p",1.01429893437307
"Diff/Luma","114",4224318,"1080p",1.01570448494507
"Diff/Luma","94",1862565,"720p",1.01703536210929
"Diff/Luma","75",2728893,"720p",1.01737471241913
"Diff/Luma","12",2528003,"720p",1.01738568409649
"Diff/Luma","1",1655266,"720p",1.01740684693899
"Diff/Luma","62",6031835,"1080p",1.01765730971085
"Diff/Luma","28",3738041,"1080p",1.01795535914395
"Diff/Luma","106",1652087,"720p",1.01817519579735
"Diff/Luma","108",1881601,"720p",1.01833389708966
"Diff/Luma","78",4133721,"1080p",1.01901325053148
"Diff/Luma","3",1634786,"720p",1.01917547573983
"Diff/Luma","42",2076089,"720p",1.01926755313613
"Diff/Luma","115",1720650,"720p",1.0200766547011
"Diff/Luma","36",2148366,"720p",1.02043321124736
"Diff/Luma","88",1561322,"720p",1.02045522131991
"Diff/Luma","50",1806553,"720p",1.02066755858285
"Diff/Luma","81",1740538,"720p",1.02206568441673
"Diff/Luma","66",1853847,"720p",1.02230394711374
"Diff/Luma","75",5799800,"1080p",1.02274775243431
"Diff/Luma","47",1681355,"720p",1.0234186164427
"Diff/Luma","44",1619576,"720p",1.02475429512931
